time,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nRevisalRuns,Cleaning:nToBeCleanedLNsProcessed,Cleaning:nTwoPassRuns,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,Environment:nBinDeltaDelete,Environment:nBinDeltaGet,Environment:nBinDeltaInsert,Environment:nBinDeltaUpdate,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncMaxTime,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate
2018-06-28 01:29:31.725 UTC, ,125,3169629,1416,23552,224, ,5, ,18,2,0.11, , , , , , , ,5,5, , , ,3,3,5, ,17,15, , , ,14, , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,863117312,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149311399, , , , ,3145728,13408, , ,19,0, , , ,1, , , ,3, , , , ,19,1, , , , , , ,15342,20, , , , , , , , ,1,11,168044168, , , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, , , , , , , , 
2018-06-28 01:30:31.727 UTC, ,125,3169629,1416,23552,224, ,5, , , , , , , , , , , ,5,5, , , ,3,3,5, , , , , , , , , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,863117312,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149311399, , , , ,3145728,13408, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,168044168, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:31:31.729 UTC, ,125,3169629,1416,23552,224, ,5, , , , , , , , , , , ,5,5, , , ,3,3,5, , , , , , , , , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,863113216,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149311399, , , , ,3145728,13408, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,169075936, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:32:31.733 UTC, ,125,3169629,1416,23552,224, ,5, , , , , , , , , , , ,5,5, , , ,3,3,5, , , , , , , , , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,862314496,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149311399, , , , ,3145728,13408, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,169075936, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:32:49.371 UTC, ,125,3161989,1416,16136, , ,3, ,29,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,26,11, , , , , , , , ,1, , , ,3161989,13408,2, ,11439, , , , ,13456,862273536,54,54, , , , , ,2,91, , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149569096, , , , ,3145728,13408, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,117419,32, , , , , , ,3,339,9,102,90158792, , , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:33:49.373 UTC, ,125,3169629,1416,23552,224, ,5, ,18,2,0.11, , , , , , , ,5,5, , , ,3,3,5, ,17,15, , , ,14, , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,862261248,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149569096, , , , ,3145728,13408, , ,19,0, , , ,1, , , ,3, , , , ,19,1, , , , , , ,15342,20, , , , , , , , ,1,13,150531960, , , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, , , , , , , , 
2018-06-28 01:34:49.377 UTC, ,125,3169629,1416,23552,224, ,5, , , , , , , , , , , ,5,5, , , ,3,3,5, , , , , , , , , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,862261248,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149569096, , , , ,3145728,13408, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,151617840, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:35:00.477 UTC, ,125,3161989,1416,16136, , ,3, ,29,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,26,11, , , , , , , , ,1, , , ,3161989,13408,2, ,11439, , , , ,13456,862257152,-1,-1, , , , , ,2,91, , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149700151, , , , ,3145728,13408, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,117419,32, , , , , , ,3,318,9,109,86995336, , , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:36:00.481 UTC, ,125,3169629,1416,23552,224, ,5, ,18,2,0.11, , , , , , , ,5,5, , , ,3,3,5, ,17,15, , , ,14, , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,862257152,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149700151, , , , ,3145728,13408, , ,19,0, , , ,1, , , ,3, , , , ,19,1, , , , , , ,15342,20, , , , , , , , ,1,13,144377232, , , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, , , , , , , , 
2018-06-28 01:37:00.485 UTC, ,125,3169629,1416,23552,224, ,5, , , , , , , , , , , ,5,5, , , ,3,3,5, , , , , , , , , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,862257152,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149700151, , , , ,3145728,13408, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,144377232, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 01:38:00.488 UTC, ,125,3169629,1416,23552,224, ,5, , , , , , , , , , , ,5,5, , , ,3,3,5, , , , , , , , , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,862257152,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530149700151, , , , ,3145728,13408, , , ,0, , , , , , , ,3, , , , , ,1, , , , , , , , , , , , , , , , , , ,144377232, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 08:16:00.855 UTC, ,125,3161989,1416,16136, , ,3, ,29,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,26,11, , , , , , , , ,1, , , ,3161989,13408,2, ,11439, , , , ,13456,781701120,-1,-1, , , , , ,2,91, , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530173760692, , , , ,3145728,13408, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,117419,32, , , , , , ,3,378,10,135,195803152,1, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 08:17:00.859 UTC, ,125,3169629,1416,23552,224, ,5, ,19,2,0.11, , , , , , , ,5,5, , , ,3,3,5, ,18,16, , , ,15, , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,781316096,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530173760692, , , , ,3145728,13408, , ,20,0, , , ,1, , , ,3, , , , ,20,1, , , , , , ,15989,21, , , , , , , , ,1,13,255228104, , , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,15, , , , , , , , 
2018-06-28 08:18:04.905 UTC, ,125,3161989,1416,16136, , ,3, ,29,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,26,11, , , , , , , , ,1, , , ,3161989,13408,2, ,11439, , , , ,13456,702152704,-1,-1, , , , , ,2,91, , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530173884574, , , , ,3145728,13408, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,117419,32, , , , , , ,3,278,10,103,74350256,2, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 08:19:31.122 UTC, ,125,3163437,1416,17360,224, ,4, ,33,3,0.09, , , , , , , ,4,4, ,2, ,3,2,4, ,30,13, , , , , , , , ,1, , , ,3163437,13408,2, ,11439, , , , ,13456,701886464,-1,-1, , , , , ,2,91, , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530173970710, , , , ,3145728,13408, , ,20,0, , , ,3, , , ,3, , , , ,20,1,2048,1, , , , ,123706,37, , , , , , ,3,318,9,105,85428592,1, , , , , , ,26, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 08:20:39.671 UTC, ,125,3161989,1416,16136, , ,3, ,29,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,26,11, , , , , , , , ,1, , , ,3161989,13408,2, ,11439, , , , ,13456,848850944,54,54, , , , , ,2,91, , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530174039497, , , , ,3145728,13408, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,117419,32, , , , , , ,3,404,8,105,201512256,1, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 08:21:21.412 UTC, ,125,3161989,1416,16136, , ,3, ,29,3,0.10, , , , , , , ,3,3, ,2, ,2,1,4, ,26,11, , , , , , , , ,1, , , ,3161989,13408,2, ,11439, , , , ,13456,848781312,54,54, , , , , ,2,91, , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530174081245, , , , ,3145728,13408, , ,19,0, , , ,2, , , ,3, , , , ,19, ,2048,1, , , , ,117419,32, , , , , , ,3,304,9,121,159973208,1, , , , , , ,20, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2018-06-28 08:22:21.416 UTC, ,125,3169629,1416,23552,224, ,5, ,18,2,0.11, , , , , , , ,5,5, , , ,3,3,5, ,17,15, , , ,14, , , , ,1, , , ,3169629,13408,2, ,11439, , , , ,13456,848670720,54,54, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,13456, ,1530174081245, , , , ,3145728,13408, , ,19,0, , , ,1, , , ,3, , , , ,19,1, , , , , , ,15342,20, , , , , , , , ,1,11,241535496, , , , , , , ,19, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,14, , , , , , , , 
